class_name,cluster
com.ibm.websphere.samples.daytrader.web.prims.PingUpgradeServlet$Listener,11
com.ibm.websphere.samples.daytrader.web.prims.PingWebSocketBinary,16
com.ibm.websphere.samples.daytrader.web.prims.PingWebSocketJson,16
com.ibm.websphere.samples.daytrader.web.prims.PingWebSocketTextAsync,16
com.ibm.websphere.samples.daytrader.web.prims.PingWebSocketTextSync,16
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Entity,3
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2MDBQueue,3
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2MDBTopic,3
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2CMROne2Many,3
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2CMROne2One,3
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2Entity,4
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2Entity2JSP,4
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2Session2EntityCollection,4
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2SessionLocal,3
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2SessionRemote,3
com.ibm.websphere.samples.daytrader.web.prims.ejb3.PingServlet2TwoPhase,-1
com.ibm.websphere.samples.daytrader.web.websocket.ActionDecoder,16
com.ibm.websphere.samples.daytrader.web.websocket.ActionMessage,-1
com.ibm.websphere.samples.daytrader.web.websocket.JsonDecoder,16
com.ibm.websphere.samples.daytrader.web.websocket.JsonEncoder,-1
com.ibm.websphere.samples.daytrader.web.websocket.JsonMessage,-1
com.ibm.websphere.samples.daytrader.web.websocket.MarketSummaryWebSocket,15
com.ibm.websphere.samples.daytrader.web.websocket.RecentStockChangeList,15
